=== ANALYSIS REPORT ===
Total Chars Scanned: 5,111,365,024
Out-of-Scope Chars Found: 58,237,838
Unique Out-of-Scope Chars: 3,932
Noise Percentage: 1.1394%
=======================

CHAR   | HEX      | COUNT      | NAME
------------------------------------------------------------
a      | U+0061   | 5,632,310  | LATIN SMALL LETTER A
n      | U+006E   | 4,703,174  | LATIN SMALL LETTER N
e      | U+0065   | 4,476,416  | LATIN SMALL LETTER E
i      | U+0069   | 3,947,905  | LATIN SMALL LETTER I
o      | U+006F   | 3,253,492  | LATIN SMALL LETTER O
t      | U+0074   | 3,183,687  | LATIN SMALL LETTER T
s      | U+0073   | 2,682,417  | LATIN SMALL LETTER S
r      | U+0072   | 2,629,124  | LATIN SMALL LETTER R
l      | U+006C   | 2,028,751  | LATIN SMALL LETTER L
u      | U+0075   | 1,756,667  | LATIN SMALL LETTER U
h      | U+0068   | 1,667,262  | LATIN SMALL LETTER H
d      | U+0064   | 1,660,353  | LATIN SMALL LETTER D
m      | U+006D   | 1,521,979  | LATIN SMALL LETTER M
c      | U+0063   | 1,377,831  | LATIN SMALL LETTER C
y      | U+0079   | 1,004,114  | LATIN SMALL LETTER Y
p      | U+0070   | 972,252    | LATIN SMALL LETTER P
g      | U+0067   | 902,656    | LATIN SMALL LETTER G
k      | U+006B   | 671,831    | LATIN SMALL LETTER K
b      | U+0062   | 657,839    | LATIN SMALL LETTER B
w      | U+0077   | 652,381    | LATIN SMALL LETTER W
f      | U+0066   | 565,325    | LATIN SMALL LETTER F
v      | U+0076   | 543,796    | LATIN SMALL LETTER V
       | U+200D   | 538,035    | ZERO WIDTH JOINER
S      | U+0053   | 502,768    | LATIN CAPITAL LETTER S
M      | U+004D   | 483,311    | LATIN CAPITAL LETTER M
A      | U+0041   | 475,716    | LATIN CAPITAL LETTER A
T      | U+0054   | 428,827    | LATIN CAPITAL LETTER T
I      | U+0049   | 365,182    | LATIN CAPITAL LETTER I
C      | U+0043   | 347,069    | LATIN CAPITAL LETTER C
P      | U+0050   | 303,462    | LATIN CAPITAL LETTER P
D      | U+0044   | 281,322    | LATIN CAPITAL LETTER D
N      | U+004E   | 261,802    | LATIN CAPITAL LETTER N
R      | U+0052   | 254,621    | LATIN CAPITAL LETTER R
ꞌ      | U+A78C   | 239,919    | LATIN SMALL LETTER SALTILLO
E      | U+0045   | 232,194    | LATIN CAPITAL LETTER E
j      | U+006A   | 231,306    | LATIN SMALL LETTER J
L      | U+004C   | 224,706    | LATIN CAPITAL LETTER L
B      | U+0042   | 211,245    | LATIN CAPITAL LETTER B
x      | U+0078   | 203,601    | LATIN SMALL LETTER X
O      | U+004F   | 190,074    | LATIN CAPITAL LETTER O
q      | U+0071   | 186,722    | LATIN SMALL LETTER Q
H      | U+0048   | 161,789    | LATIN CAPITAL LETTER H
F      | U+0046   | 160,435    | LATIN CAPITAL LETTER F
K      | U+004B   | 156,201    | LATIN CAPITAL LETTER K
ɨ      | U+0268   | 156,093    | LATIN SMALL LETTER I WITH STROKE
G      | U+0047   | 153,338    | LATIN CAPITAL LETTER G
z      | U+007A   | 141,173    | LATIN SMALL LETTER Z
       | U+200C   | 132,804    | ZERO WIDTH NON-JOINER
W      | U+0057   | 128,315    | LATIN CAPITAL LETTER W
U      | U+0055   | 120,768    | LATIN CAPITAL LETTER U
V      | U+0056   | 116,556    | LATIN CAPITAL LETTER V
ा      | U+093E   | 103,129    | DEVANAGARI VOWEL SIGN AA
J      | U+004A   | 98,254     | LATIN CAPITAL LETTER J
ا      | U+0627   | 86,690     | ARABIC LETTER ALEF
ل      | U+0644   | 84,971     | ARABIC LETTER LAM
्      | U+094D   | 74,906     | DEVANAGARI SIGN VIRAMA
Y      | U+0059   | 73,899     | LATIN CAPITAL LETTER Y
े      | U+0947   | 72,346     | DEVANAGARI VOWEL SIGN E
र      | U+0930   | 66,174     | DEVANAGARI LETTER RA
ు      | U+0C41   | 65,859     | TELUGU VOWEL SIGN U
்      | U+0BCD   | 63,739     | TAMIL SIGN VIRAMA
क      | U+0915   | 58,112     | DEVANAGARI LETTER KA
X      | U+0058   | 53,443     | LATIN CAPITAL LETTER X
న      | U+0C28   | 53,069     | TELUGU LETTER NA
त      | U+0924   | 52,818     | DEVANAGARI LETTER TA
া      | U+09BE   | 50,682     | BENGALI VOWEL SIGN AA
ن      | U+0646   | 48,264     | ARABIC LETTER NOON
ŋ      | U+014B   | 44,360     | LATIN SMALL LETTER ENG
ి      | U+0C3F   | 42,985     | TELUGU VOWEL SIGN I
م      | U+0645   | 42,359     | ARABIC LETTER MEEM
ë      | U+00EB   | 41,922     | LATIN SMALL LETTER E WITH DIAERESIS
ي      | U+064A   | 41,780     | ARABIC LETTER YEH
ह      | U+0939   | 39,272     | DEVANAGARI LETTER HA
स      | U+0938   | 37,505     | DEVANAGARI LETTER SA
و      | U+0648   | 37,492     | ARABIC LETTER WAW
य      | U+092F   | 37,371     | DEVANAGARI LETTER YA
ि      | U+093F   | 37,210     | DEVANAGARI VOWEL SIGN I
ी      | U+0940   | 36,745     | DEVANAGARI VOWEL SIGN II
ে      | U+09C7   | 35,327     | BENGALI VOWEL SIGN E
न      | U+0928   | 34,945     | DEVANAGARI LETTER NA
র      | U+09B0   | 34,556     | BENGALI LETTER RA
म      | U+092E   | 34,104     | DEVANAGARI LETTER MA
ñ      | U+00F1   | 34,052     | LATIN SMALL LETTER N WITH TILDE
ನ      | U+0CA8   | 32,311     | KANNADA LETTER NA
ल      | U+0932   | 32,096     | DEVANAGARI LETTER LA
ه      | U+0647   | 32,040     | ARABIC LETTER HEH
్      | U+0C4D   | 31,984     | TELUGU SIGN VIRAMA
प      | U+092A   | 30,074     | DEVANAGARI LETTER PA
க      | U+0B95   | 29,675     | TAMIL LETTER KA
ب      | U+0628   | 28,805     | ARABIC LETTER BEH
ر      | U+0631   | 27,799     | ARABIC LETTER REH
व      | U+0935   | 27,240     | DEVANAGARI LETTER VA
ع      | U+0639   | 27,176     | ARABIC LETTER AIN
ं      | U+0902   | 26,970     | DEVANAGARI SIGN ANUSVARA
ு      | U+0BC1   | 26,822     | TAMIL VOWEL SIGN U
َ      | U+064E   | 26,211     | ARABIC FATHA
ా      | U+0C3E   | 26,100     | TELUGU VOWEL SIGN AA
த      | U+0BA4   | 25,964     | TAMIL LETTER TA
್      | U+0CCD   | 25,638     | KANNADA SIGN VIRAMA
ర      | U+0C30   | 23,402     | TELUGU LETTER RA
ி      | U+0BBF   | 23,361     | TAMIL VOWEL SIGN I
